LATITUDE,LONGITUDE
24.4593,-110
22.8672,-110
22.799,-110
22.6998,-110
22.4998,-110
22.0007,-110
21.4147,-110
20.8335,-110
20.2488,-110
19.6665,-110
19.0805,-110
18.4998,-110
17.9142,-110
17.333,-110
16.7513,-110
16.1665,-110
15.583,-110
15.0,-110
14.4165,-110
13.8333,-110
13.2498,-110
12.6665,-110
12.0833,-110
11.5007,-110
10.9175,-110
10.3335,-110
9.7517,-110
9.1668,-110
8.585,-110
8.0002,-110
7.4167,-110
6.8332,-110
6.2492,-110
5.6658,-110
5.0345,-110
4.501,-110
3.9998,-110
3.4995,-110
3.0003,-110
2.4987,-110
2.0417,-110
1.4997,-110
0.9997,-110
0.4998,-110
0.0005,-110
-0.333,-110
-0.6677,-110
-0.9978,-110
-1.499,-110
-1.9158,-110
-2.499,-110
-2.9993,-110
-3.499,-110
-3.9995,-110
-4.4972,-110
-5.0125,-110
-5.4162,-110
-5.833,-110
-8.0073,-110
-6.25,-110
-6.6652,-110
-7.0833,-110
-7.5015,-110
-7.9167,-110
-8.3325,-110
-8.7497,-110
-9.166,-110
-9.582,-110
-10.0002,-110
-10.582,-110
-11.1663,-110
-11.7497,-110
-12.3323,-110
-12.9155,-110
-13.4995,-110
-14.0835,-110
-14.6663,-110
-15.2498,-110
-15.8322,-110
-16.4153,-110
-16.9997,-110
-17.5828,-110
-18.1663,-110
-18.7497,-110
-19.3323,-110
-19.9153,-110
-20.5,-110
-21.0835,-110
-21.6665,-110
-22.2493,-110
-22.8335,-110
-23.4165,-110
-23.9997,-110
-24.5827,-110
-25.1667,-110
-25.7488,-110
-26.333,-110
-26.9165,-110
-27.498,-110
-28.0828,-110
-27.295,-110
-28.666,-110
-29.2492,-110
-29.833,-110
-30.4163,-110
-30.9998,-110
-31.5828,-110
-32.167,-110
-32.7485,-110
-33.334,-110
-33.9135,-110
-34.4938,-110
-35.0842,-110
-35.6667,-110
-36.2498,-110
-36.8337,-110
-37.4177,-110
-38.0007,-110
-38.5835,-110
-39.167,-110
-39.752,-110
-40.3343,-110
-40.9155,-110
-41.5,-110
-42.0818,-110
-42.6673,-110
-43.2517,-110
-43.8323,-110
-44.4168,-110
-44.999,-110
-45.5842,-110
-46.1677,-110
-46.7493,-110
-47.3335,-110
-47.9167,-110
-48.501,-110
-48.9405,-110
-49.6668,-110
-50.2495,-110
-50.8348,-110
-51.4158,-110
-51.9997,-110
-52.582,-110
-53.1672,-110
-53.7495,-110
-54.3332,-110
-54.9168,-110
-55.4998,-110
-56.083,-110
-56.6668,-110
-57.2503,-110
-57.7502,-110
-58.2502,-110
-58.756,-110
-59.2502,-110
-59.7507,-110
-60.2503,-110
-60.7517,-110
-61.2503,-110
-61.7503,-110
-62.253,-110
-62.7502,-110
-63.2495,-110
-63.7482,-110
-64.2483,-110
-64.751,-110
-65.2488,-110
-65.7492,-110
-66.249,-110
-66.7498,-110
-67.2505,-110
-67.7502,-110
-68.3328,-110
-68.909,-110
-69.4407,-110
-67.0005,-110
-67.0007,-110
